wavelength_nm,source_relative_absorbance,extraction_class,extraction_note
520,0.5036,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
525,0.5844,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
530,0.6744,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
535,0.7628,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
540,0.8622998296422487,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
545,0.934,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
550,1,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
555,1,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
560,0.91,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
565,0.803,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
570,0.535,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
575,0.382,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
580,0.245,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
585,0.159,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
590,0.099,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
595,0.063,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
600,0.04,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
605,0.026,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
610,0.02,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
615,0.01,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
620,0.003,figure-1-digitized,raster-trace-normalized-to-552nm-anchor-neighbourhood
625,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
630,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
635,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
640,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
645,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
650,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
655,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
660,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
665,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
670,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
675,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
680,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
685,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
690,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
695,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
700,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
705,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
710,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
715,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
720,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
725,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
730,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
735,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
740,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
745,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
750,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
755,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
760,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
765,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
770,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
775,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
780,0,below-sensitivity-extension,explicit-zero-extension-beyond-resolved-figure-trace
